name,title,company,company_funding,location,hub_location,published_recent_paper,keywords_match,uses_similar_tech,lead_score
Alice Brown,Director of Toxicology,BioGenix,Series B,Boston,Yes,Yes,Yes,Yes,115
Emma Wilson,VP Preclinical Safety,LifeSciencesX,Series B,Basel,Yes,Yes,Yes,Yes,115
Sophia Müller,Director of Hepatic Research,HepaTech,Series A,Berlin,Yes,Yes,Yes,Yes,110
Maria Lopez,Head of Safety Assessment,NeoThera,Series A,Cambridge,Yes,Yes,Yes,Yes,110
Ananya Gupta,Principal Scientist,DrugNova,Series B,Cambridge,Yes,Yes,Yes,Yes,100
Mark Taylor,Postdoc Researcher,University Lab,,London,No,Yes,Yes,No,40
John Smith,Senior Scientist,HealthCore,Seed,Texas,No,No,Yes,No,20
Rahul Mehta,Junior Scientist,EarlyBio,Seed,Bangalore,No,No,Yes,No,5
David Chen,Research Scientist,SmallBio,,San Diego,No,No,No,No,0
Tom Anderson,Lab Technician,TestLabs,,Ohio,No,No,No,No,0
